plex	channel	sample	sample_name	condition	replicate
08CPTAC_PDA_Proteome_JHU_20200228	130C	CPT0124500004	CPT0124500004	CPT0124500004	1
08CPTAC_PDA_Proteome_JHU_20200228	131N	CPT0138900004	CPT0138900004	CPT0138900004	1
08CPTAC_PDA_Proteome_JHU_20200228	131C	CPT0162660004	CPT0162660004	CPT0162660004	1
09CPTAC_PDA_Proteome_JHU_20191204	126	pool	pool	pool	1
09CPTAC_PDA_Proteome_JHU_20191204	127N	CPT0126160004	CPT0126160004	CPT0126160004	1
09CPTAC_PDA_Proteome_JHU_20191204	127C	CPT0264150003	CPT0264150003	CPT0264150003	1
09CPTAC_PDA_Proteome_JHU_20191204	128N	CPT0123650003	CPT0123650003	CPT0123650003	1
09CPTAC_PDA_Proteome_JHU_20191204	128C	QC3	QC3	QC3	1
09CPTAC_PDA_Proteome_JHU_20191204	129N	CPT0209640005	CPT0209640005	CPT0209640005	1
09CPTAC_PDA_Proteome_JHU_20191204	129C	CPT0264180003	CPT0264180003	CPT0264180003	1
09CPTAC_PDA_Proteome_JHU_20191204	130N	CPT0123670003	CPT0123670003	CPT0123670003	1
09CPTAC_PDA_Proteome_JHU_20191204	130C	CPT0208550005	CPT0208550005	CPT0208550005	1
09CPTAC_PDA_Proteome_JHU_20191204	131N	CPT0209650004	CPT0209650004	CPT0209650004	1
09CPTAC_PDA_Proteome_JHU_20191204	131C	CPT0126200003	CPT0126200003	CPT0126200003	1
10CPTAC_PDA_Proteome_JHU_20191207	126	pool	pool	pool	1
10CPTAC_PDA_Proteome_JHU_20191207	127N	CPT0109130003	CPT0109130003	CPT0109130003	1
10CPTAC_PDA_Proteome_JHU_20191207	127C	CPT0077860003	CPT0077860003	CPT0077860003	1
10CPTAC_PDA_Proteome_JHU_20191207	128N	CPT0125130003	CPT0125130003	CPT0125130003	1
10CPTAC_PDA_Proteome_JHU_20191207	128C	CPT0238820005	CPT0238820005	CPT0238820005	1
10CPTAC_PDA_Proteome_JHU_20191207	129N	CPT0238740004	CPT0238740004	CPT0238740004	1
10CPTAC_PDA_Proteome_JHU_20191207	129C	CPT0077880003	CPT0077880003	CPT0077880003	1
10CPTAC_PDA_Proteome_JHU_20191207	130N	CPT0078090004	CPT0078090004	CPT0078090004	1
10CPTAC_PDA_Proteome_JHU_20191207	130C	CPT0109110004	CPT0109110004	CPT0109110004	1
10CPTAC_PDA_Proteome_JHU_20191207	131N	CPT0248320003	CPT0248320003	CPT0248320003	1
10CPTAC_PDA_Proteome_JHU_20191207	131C	CPT0238710004	CPT0238710004	CPT0238710004	1
11CPTAC_PDA_Proteome_JHU_20191211	126	pool	pool	pool	1
11CPTAC_PDA_Proteome_JHU_20191211	127N	CPT0166930004	CPT0166930004	CPT0166930004	1
11CPTAC_PDA_Proteome_JHU_20191211	127C	CPT0248410004	CPT0248410004	CPT0248410004	1
11CPTAC_PDA_Proteome_JHU_20191211	128N	CPT0017040004	CPT0017040004	CPT0017040004	1
11CPTAC_PDA_Proteome_JHU_20191211	128C	CPT0011520003	CPT0011520003	CPT0011520003	1
11CPTAC_PDA_Proteome_JHU_20191211	129N	CPT0077810003	CPT0077810003	CPT0077810003	1
11CPTAC_PDA_Proteome_JHU_20191211	129C	CPT0011540003	CPT0011540003	CPT0011540003	1
11CPTAC_PDA_Proteome_JHU_20191211	130N	CPT0017130003	CPT0017130003	CPT0017130003	1
11CPTAC_PDA_Proteome_JHU_20191211	130C	CPT0077790004	CPT0077790004	CPT0077790004	1
11CPTAC_PDA_Proteome_JHU_20191211	131N	CPT0248440003	CPT0248440003	CPT0248440003	1
11CPTAC_PDA_Proteome_JHU_20191211	131C	CPT0207780004	CPT0207780004	CPT0207780004	1
12CPTAC_PDA_Proteome_JHU_20191215	126	pool	pool	pool	1
12CPTAC_PDA_Proteome_JHU_20191215	127N	CPT0170260004	CPT0170260004	CPT0170260004	1
12CPTAC_PDA_Proteome_JHU_20191215	127C	CPT0276010003	CPT0276010003	CPT0276010003	1
12CPTAC_PDA_Proteome_JHU_20191215	128N	CPT0246940003	CPT0246940003	CPT0246940003	1
12CPTAC_PDA_Proteome_JHU_20191215	128C	CPT0123460003	CPT0123460003	CPT0123460003	1
12CPTAC_PDA_Proteome_JHU_20191215	129N	CPT0217700004	CPT0217700004	CPT0217700004	1
12CPTAC_PDA_Proteome_JHU_20191215	129C	CPT0276030003	CPT0276030003	CPT0276030003	1
12CPTAC_PDA_Proteome_JHU_20191215	130N	CPT0123440003	CPT0123440003	CPT0123440003	1
12CPTAC_PDA_Proteome_JHU_20191215	130C	CPT0246260004	CPT0246260004	CPT0246260004	1
12CPTAC_PDA_Proteome_JHU_20191215	131N	CPT0246950003	CPT0246950003	CPT0246950003	1
12CPTAC_PDA_Proteome_JHU_20191215	131C	CPT0170240004	CPT0170240004	CPT0170240004	1
13CPTAC_PDA_Proteome_JHU_20191219	126	pool	pool	pool	1
13CPTAC_PDA_Proteome_JHU_20191219	127N	KoreanReference2	KoreanReference2	KoreanReference2	1
13CPTAC_PDA_Proteome_JHU_20191219	127C	CPT0089750004	CPT0089750004	CPT0089750004	1
13CPTAC_PDA_Proteome_JHU_20191219	128N	CPT0064090003	CPT0064090003	CPT0064090003	1
13CPTAC_PDA_Proteome_JHU_20191219	128C	CPT0246990003	CPT0246990003	CPT0246990003	1
13CPTAC_PDA_Proteome_JHU_20191219	129N	CPT0209310004	CPT0209310004	CPT0209310004	1
13CPTAC_PDA_Proteome_JHU_20191219	129C	CPT0089720003	CPT0089720003	CPT0089720003	1
13CPTAC_PDA_Proteome_JHU_20191219	130N	QC4	QC4	QC4	1
13CPTAC_PDA_Proteome_JHU_20191219	130C	CPT0247000003	CPT0247000003	CPT0247000003	1
13CPTAC_PDA_Proteome_JHU_20191219	131N	CPT0064110003	CPT0064110003	CPT0064110003	1
13CPTAC_PDA_Proteome_JHU_20191219	131C	CPT0226680005	CPT0226680005	CPT0226680005	1
14CPTAC_PDA_Proteome_JHU_20191227	126	pool	pool	pool	1
14CPTAC_PDA_Proteome_JHU_20191227	127N	CPT0238530005	CPT0238530005	CPT0238530005	1
14CPTAC_PDA_Proteome_JHU_20191227	127C	CPT0081470004	CPT0081470004	CPT0081470004	1
14CPTAC_PDA_Proteome_JHU_20191227	128N	CPT0081060004	CPT0081060004	CPT0081060004	1
14CPTAC_PDA_Proteome_JHU_20191227	128C	CPT0208840004	CPT0208840004	CPT0208840004	1
14CPTAC_PDA_Proteome_JHU_20191227	129N	CPT0246210004	CPT0246210004	CPT0246210004	1
14CPTAC_PDA_Proteome_JHU_20191227	129C	CPT0092630003	CPT0092630003	CPT0092630003	1
14CPTAC_PDA_Proteome_JHU_20191227	130N	CPT0246220004	CPT0246220004	CPT0246220004	1
14CPTAC_PDA_Proteome_JHU_20191227	130C	CPT0008800003	CPT0008800003	CPT0008800003	1
14CPTAC_PDA_Proteome_JHU_20191227	131N	CPT0208850004	CPT0208850004	CPT0208850004	1
14CPTAC_PDA_Proteome_JHU_20191227	131C	C3L-00189-04	C3L-00189-04	C3L-00189-04	1
15CPTAC_PDA_Proteome_JHU_20191230	126	pool	pool	pool	1
15CPTAC_PDA_Proteome_JHU_20191230	127N	CPT0094940004	CPT0094940004	CPT0094940004	1
15CPTAC_PDA_Proteome_JHU_20191230	127C	CPT0238440005	CPT0238440005	CPT0238440005	1
15CPTAC_PDA_Proteome_JHU_20191230	128N	CPT0094230004	CPT0094230004	CPT0094230004	1
15CPTAC_PDA_Proteome_JHU_20191230	128C	CPT0241500004	CPT0241500004	CPT0241500004	1
15CPTAC_PDA_Proteome_JHU_20191230	129N	CPT0218200004	CPT0218200004	CPT0218200004	1
15CPTAC_PDA_Proteome_JHU_20191230	129C	CPT0094180003	CPT0094180003	CPT0094180003	1
15CPTAC_PDA_Proteome_JHU_20191230	130N	CPT0218220004	CPT0218220004	CPT0218220004	1
